,Open,High,Low,Close,Adj Close,Volume
2021-09-07 09:30:00-04:00,114.33999633789062,115.37999725341797,113.93000030517578,114.03500366210938,114.03500366210938,94438
2021-09-07 10:30:00-04:00,114.08000183105469,114.22000122070312,112.41999816894531,112.55999755859375,112.55999755859375,87783
2021-09-07 11:30:00-04:00,112.62999725341797,113.0999984741211,112.54000091552734,112.79000091552734,112.79000091552734,50345
2021-09-07 12:30:00-04:00,112.86000061035156,113.5199966430664,112.86000061035156,113.37999725341797,113.37999725341797,43691
2021-09-07 13:30:00-04:00,113.38999938964844,113.81999969482422,113.22000122070312,113.30999755859375,113.30999755859375,39060
2021-09-07 14:30:00-04:00,113.37999725341797,113.91999816894531,113.37999725341797,113.8499984741211,113.8499984741211,40579
2021-09-07 15:30:00-04:00,113.83000183105469,114.0,113.48999786376953,113.52999877929688,113.52999877929688,165124
2021-09-08 09:30:00-04:00,112.91000366210938,114.4000015258789,112.62999725341797,113.61000061035156,113.61000061035156,58949
2021-09-08 10:30:00-04:00,113.58000183105469,114.40499877929688,113.19000244140625,114.16999816894531,114.16999816894531,52760
2021-09-08 11:30:00-04:00,113.94999694824219,113.98999786376953,113.44000244140625,113.44999694824219,113.44999694824219,35826
2021-09-08 12:30:00-04:00,113.51000213623047,113.68000030517578,113.19000244140625,113.34500122070312,113.34500122070312,33073
2021-09-08 13:30:00-04:00,113.33999633789062,113.44999694824219,113.23999786376953,113.2699966430664,113.2699966430664,29223
2021-09-08 14:30:00-04:00,113.2699966430664,113.66999816894531,113.16999816894531,113.3550033569336,113.3550033569336,40372
2021-09-08 15:30:00-04:00,113.33000183105469,113.75,113.30000305175781,113.72000122070312,113.72000122070312,72151
2021-09-09 09:30:00-04:00,112.70999908447266,113.08499908447266,111.7300033569336,112.44000244140625,112.44000244140625,80781
2021-09-09 10:30:00-04:00,112.4000015258789,113.3499984741211,112.4000015258789,112.95999908447266,112.95999908447266,53183
2021-09-09 11:30:00-04:00,112.94999694824219,113.01000213623047,112.54000091552734,112.63999938964844,112.63999938964844,67006
2021-09-09 12:30:00-04:00,112.6449966430664,112.95999908447266,112.5199966430664,112.63999938964844,112.63999938964844,46016
2021-09-09 13:30:00-04:00,112.5999984741211,112.5999984741211,112.11000061035156,112.1500015258789,112.1500015258789,53997
2021-09-09 14:30:00-04:00,112.12999725341797,112.27999877929688,111.86000061035156,111.95500183105469,111.95500183105469,58767
2021-09-09 15:30:00-04:00,111.87999725341797,111.87999725341797,111.37000274658203,111.41999816894531,111.41999816894531,100227
2021-09-10 09:30:00-04:00,111.4000015258789,111.58999633789062,109.69999694824219,110.18000030517578,110.18000030517578,122137
2021-09-10 10:30:00-04:00,110.0,110.04000091552734,109.05999755859375,109.4800033569336,109.4800033569336,89748
2021-09-10 11:30:00-04:00,109.53500366210938,109.91000366210938,109.16000366210938,109.44000244140625,109.44000244140625,56526
2021-09-10 12:30:00-04:00,109.4000015258789,109.4000015258789,108.83000183105469,109.19999694824219,109.19999694824219,57722
2021-09-10 13:30:00-04:00,109.23999786376953,109.45999908447266,109.08000183105469,109.16000366210938,109.16000366210938,39968
2021-09-10 14:30:00-04:00,109.19999694824219,109.4800033569336,108.91999816894531,108.9800033569336,108.9800033569336,52815
2021-09-10 15:30:00-04:00,109.0,109.02999877929688,108.05000305175781,108.13999938964844,108.13999938964844,155876
